OBJECTID	STATEFP	COUNTYFP	TRACTCE	GEOID	NAMELSAD	MTFCC	FUNCSTAT	ALAND	AWATER	INTPTLAT	INTPTLON	Tract_Name	NAME	SOCIOECON	HSECOMP	MINLANG	HSETRANS	OVERALL
46	72	21	30101	72021030101	Census Tract 301.01	G5020	S	7829199	167594	18.4055083	-66.1326027	Census Tract 301.01	Bayamón	0.5463	0.0701	0.3122	0.569	0.2454
47	72	21	30200	72021030200	Census Tract 302	G5020	S	1144621	13688	18.3887037	-66.1411948	Census Tract 302	Bayamón	0.1368	0.457	0.0328	0.1176	0.0509
48	72	49	950500	72049950500	Census Tract 9505	G5020	S	30115055	47012623	18.3265989	-65.30772	Census Tract 9505	Culebra	0.3178	0.1877	0.078	0.966	0.2737
49	72	15	280201	72015280201	Census Tract 2802.01	G5020	S	3450709	219702	17.9764237	-66.0658319	Census Tract 2802.01	Arroyo	0.1787	0.6719	0.535	0.2036	0.2861
50	72	127	5214	72127005214	Census Tract 52.14	G5020	S	656315	0	18.4010255	-66.0104772	Census Tract 52.14	San Juan	0.6651	0.7997	0.4604	0.8269	0.8359
51	72	127	4306	72127004306	Census Tract 43.06	G5020	S	191323	3768	18.4209026	-66.0794226	Census Tract 43.06	San Juan	0.854	0.5475	0.9162	0.7907	0.9321
52	72	127	980103	72127980103	Census Tract 9801.03	G5020	S	624933	2612	18.4226162	-66.074572	Census Tract 9801.03	San Juan	0.9502	0.7138	0.9977	0.466	0.9355
53	72	43	954100	72043954100	Census Tract 9541	G5020	S	850249	311	18.0825926	-66.3632556	Census Tract 9541	Coamo	0.6187	0.8246	0.492	0.345	0.6391
54	72	33	980003	72033980003	Census Tract 9800.03	G5020	S	1157922	7451	18.4303838	-66.1536874	Census Tract 9800.03	Cataño	0.5418	0.768	0.6357	0.8076	0.8382
55	72	15	280202	72015280202	Census Tract 2802.02	G5020	S	11191838	2568513	17.9720599	-66.0419453	Census Tract 2802.02	Arroyo	0.2895	0.888	0.8653	0.871	0.8846
56	72	127	5215	72127005215	Census Tract 52.15	G5020	S	881016	357815	18.4105525	-66.0126264	Census Tract 52.15	San Juan	0.7296	0.6708	0.3009	0.5067	0.5984
57	72	127	3800	72127003800	Census Tract 38	G5020	S	217797	0	18.4362906	-66.0553233	Census Tract 38	San Juan	0.8178	0.0101	0.871	0.9909	0.7997
58	72	145	560204	72145560204	Census Tract 5602.04	G5020	S	12948514	3967814	18.4765221	-66.4125461	Census Tract 5602.04	Vega Baja	0.716	0.0407	0.0667	0.9683	0.3857
59	72	145	560401	72145560401	Census Tract 5604.01	G5020	S	2744642	645538	18.4539596	-66.4224577	Census Tract 5604.01	Vega Baja	0.5554	0.483	0.1742	0.1493	0.2002
60	72	33	20302	72033020302	Census Tract 203.02	G5020	S	382813	0	18.4364111	-66.1321906	Census Tract 203.02	Cataño	0.8065	0.2545	0.6391	0.638	0.6674
61	72	143	550601	72143550601	Census Tract 5506.01	G5020	S	11530844	5340	18.3888193	-66.3317714	Census Tract 5506.01	Vega Alta	0.8291	0.3789	0.4264	0.5791	0.6018
62	72	143	550300	72143550300	Census Tract 5503	G5020	S	25385742	0	18.3791543	-66.355602	Census Tract 5503	Vega Alta	0.742	0.259	0.7217	0.2341	0.4739
63	72	143	550200	72143550200	Census Tract 5502	G5020	S	11636891	9178	18.4314469	-66.3279493	Census Tract 5502	Vega Alta	0.7352	0.6278	0.6753	0.6945	0.819
64	72	143	550100	72143550100	Census Tract 5501	G5020	S	13779202	1986206	18.4645891	-66.3306797	Census Tract 5501	Vega Alta	0.466	0.3156	0.1029	0.8755	0.3721
65	72	143	550400	72143550400	Census Tract 5504	G5020	S	2015759	0	18.4126033	-66.3275554	Census Tract 5504	Vega Alta	0.9174	0.7545	0.3947	0.7771	0.8665
66	72	143	550500	72143550500	Census Tract 5505	G5020	S	3205675	0	18.4184853	-66.3113443	Census Tract 5505	Vega Alta	0.4162	0.0622	0.5509	0.9852	0.5011
67	72	143	550602	72143550602	Census Tract 5506.02	G5020	S	4262172	4003	18.3978829	-66.3102278	Census Tract 5506.02	Vega Alta	0.552	0.5667	0.3766	0.7239	0.6063
68	72	21	31114	72021031114	Census Tract 311.14	G5020	S	618745	0	18.3763959	-66.1917857	Census Tract 311.14	Bayamón	0.6877	0.8472	0.5509	0.5305	0.7692
69	72	21	31121	72021031121	Census Tract 311.21	G5020	S	1082388	249	18.3547613	-66.1920215	Census Tract 311.21	Bayamón	0.3303	0.9242	0.1244	0.4536	0.4038
70	72	21	31113	72021031113	Census Tract 311.13	G5020	S	901465	0	18.3659905	-66.1960766	Census Tract 311.13	Bayamón	0.2013	0.7805	0.4751	0.7138	0.5769
71	72	21	31123	72021031123	Census Tract 311.23	G5020	S	903982	0	18.3474323	-66.1965362	Census Tract 311.23	Bayamón	0.8223	0.6515	0.7726	0.673	0.8868
72	72	21	31651	72021031651	Census Tract 316.51	G5020	S	625266	0	18.3733574	-66.1520071	Census Tract 316.51	Bayamón	0.207	0.604	0.6187	0.6561	0.5373
73	72	21	31702	72021031702	Census Tract 317.02	G5020	S	1360200	0	18.3589676	-66.16035	Census Tract 317.02	Bayamón	0.664	0.8212	0.4106	0.9547	0.8676
74	72	113	71601	72113071601	Census Tract 716.01	G5020	S	1299248	2422287	17.9827989	-66.6252984	Census Tract 716.01	Ponce	0.3518	0.4445	0.3585	0.2398	0.2104
75	72	79	850101	72079850101	Census Tract 8501.01	G5020	S	58350923	11638619	17.9896641	-67.0002097	Census Tract 8501.01	Lajas	0.9253	0.2296	0.561	0.4196	0.5588
76	72	79	850400	72079850400	Census Tract 8504	G5020	S	56523432	16605013	17.9868859	-67.0689571	Census Tract 8504	Lajas	0.7511	0.7601	0.8031	0.9728	0.9671
77	72	79	850300	72079850300	Census Tract 8503	G5020	S	12525908	1056	18.053213	-67.0868427	Census Tract 8503	Lajas	0.9219	0.3076	0.75	0.0644	0.5203
78	72	79	850102	72079850102	Census Tract 8501.02	G5020	S	23449515	3512	18.0420472	-67.0133408	Census Tract 8501.02	Lajas	0.6131	0.25	0.7319	0.3076	0.4445
79	72	113	71602	72113071602	Census Tract 716.02	G5020	S	1209585	3699785	17.956943	-66.634967	Census Tract 716.02	Ponce	0.9751	0.6945	0.6493	0.8631	0.9445
80	72	113	71300	72113071300	Census Tract 713	G5020	S	526009	0	18.0085515	-66.6267634	Census Tract 713	Ponce	0.8676	0.6628	0.9423	0.9943	0.9886
81	72	113	71700	72113071700	Census Tract 717	G5020	S	1067578	0	18.0025569	-66.6185273	Census Tract 717	Ponce	0.4773	0.1176	0.3133	0.9785	0.4343
82	72	113	71401	72113071401	Census Tract 714.01	G5020	S	651071	0	18.0051827	-66.6329094	Census Tract 714.01	Ponce	0.2511	0.4219	0.2556	0.7647	0.3404
83	72	113	71402	72113071402	Census Tract 714.02	G5020	S	1352122	5489	18.0031869	-66.6377153	Census Tract 714.02	Ponce	0.1119	0.7714	0.3914	0.5893	0.423
84	72	79	850200	72079850200	Census Tract 8502	G5020	S	4438049	2106	18.0446639	-67.0599759	Census Tract 8502	Lajas	0.5769	0.811	0.3597	0.6357	0.6855
85	72	105	520100	72105520100	Census Tract 5201	G5020	S	10596024	635269	18.3100923	-66.2183761	Census Tract 5201	Naranjito	0.8902	0.3404	0.8936	0.4502	0.7579
86	72	105	520300	72105520300	Census Tract 5203	G5020	S	2303647	0	18.3058421	-66.2463101	Census Tract 5203	Naranjito	0.9321	0.9886	0.8585	0.7126	0.9898
87	72	105	520500	72105520500	Census Tract 5205	G5020	S	23801102	13309	18.2713898	-66.276538	Census Tract 5205	Naranjito	0.2952	0.4343	0.8393	0.5735	0.5644
88	72	105	520400	72105520400	Census Tract 5204	G5020	S	22257981	7881	18.2768597	-66.2403048	Census Tract 5204	Naranjito	0.6719	0.69	0.69	0.2138	0.6312
89	72	105	520200	72105520200	Census Tract 5202	G5020	S	12010429	241881	18.319027	-66.2626023	Census Tract 5202	Naranjito	0.6742	0.509	0.8246	0.5192	0.7352
90	72	97	81000	72097081000	Census Tract 810	G5020	S	236652	0	18.1976092	-67.1379364	Census Tract 810	Mayagüez	0.9728	0.5328	0.8619	0.9954	0.9739
91	72	97	81601	72097081601	Census Tract 816.01	G5020	S	19745905	0	18.2352891	-67.1024461	Census Tract 816.01	Mayagüez	0.5859	0.3099	0.0938	0.388	0.2058
92	72	97	80800	72097080800	Census Tract 808	G5020	S	1304466	14574	18.2001863	-67.1247201	Census Tract 808	Mayagüez	0.7104	0.5407	0.5984	0.992	0.8653
93	72	97	81512	72097081512	Census Tract 815.12	G5020	S	67856757	28046236	18.0838502	-67.886337	Census Tract 815.12	Mayagüez	0.8076	0.7081	0.6708	0.3404	0.7341
94	72	97	81522	72097081522	Census Tract 815.22	G5020	S	10557646	37516	18.2509146	-67.1557309	Census Tract 815.22	Mayagüez	0.3653	0.4264	0.0361	0.259	0.1221
95	72	97	80300	72097080300	Census Tract 803	G5020	S	363356	252718	18.2119448	-67.1561213	Census Tract 803	Mayagüez	0.8778	0.9932	0.7997	0.9445	0.9954
96	72	97	80400	72097080400	Census Tract 804	G5020	S	446279	197477	18.2038791	-67.1512668	Census Tract 804	Mayagüez	0.7432	0.1651	0.1357	0.9807	0.509
97	72	31	50501	72031050501	Census Tract 505.01	G5020	S	3546556	116172	18.375878	-65.9639511	Census Tract 505.01	Carolina	0.1628	0.1945	0.2929	0.3506	0.1006
98	72	31	50503	72031050503	Census Tract 505.03	G5020	S	974652	0	18.3761222	-65.9859515	Census Tract 505.03	Carolina	0.2047	0.3563	0.6221	0.4683	0.3201
99	72	31	50811	72031050811	Census Tract 508.11	G5020	S	13308104	373897	18.4088265	-65.9339153	Census Tract 508.11	Carolina	0.1855	0.5871	0.1843	0.1199	0.1199
100	72	31	50902	72031050902	Census Tract 509.02	G5020	S	3684551	110295	18.3723214	-65.9445476	Census Tract 509.02	Carolina	0.3495	0.7251	0.4671	0.3484	0.4366
101	72	31	50821	72031050821	Census Tract 508.21	G5020	S	1039497	188639	18.4141175	-65.9616132	Census Tract 508.21	Carolina	0.3371	0.742	0.1346	0.3812	0.2884
102	72	31	50231	72031050231	Census Tract 502.31	G5020	S	747854	0	18.421226	-65.982565	Census Tract 502.31	Carolina	0.3065	0.3585	0.1877	0.3936	0.1742
103	72	31	50402	72031050402	Census Tract 504.02	G5020	S	4048769	1356	18.3869299	-65.9903433	Census Tract 504.02	Carolina	0.3042	0.7217	0.1323	0.983	0.5633
104	72	31	50901	72031050901	Census Tract 509.01	G5020	S	12176043	181234	18.3436387	-65.9603427	Census Tract 509.01	Carolina	0.3563	0.8076	0.5554	0.9321	0.7861
105	72	31	51102	72031051102	Census Tract 511.02	G5020	S	10663799	0	18.34481	-65.9282533	Census Tract 511.02	Carolina	0.4479	0.8042	0.8552	0.5407	0.7816
106	72	21	31203	72021031203	Census Tract 312.03	G5020	S	386923	348	18.3780447	-66.1819095	Census Tract 312.03	Bayamón	0.1447	0.7828	0.2873	0.449	0.328
107	72	21	31703	72021031703	Census Tract 317.03	G5020	S	2812567	3810	18.3437005	-66.1629242	Census Tract 317.03	Bayamón	0.3699	0.7307	0.3778	0.7398	0.6052
108	72	41	240602	72041240602	Census Tract 2406.02	G5020	S	7512470	3440	18.1515197	-66.1594559	Census Tract 2406.02	Cidra	0.164	0.6855	0.7183	0.0226	0.2873
109	72	41	240202	72041240202	Census Tract 2402.02	G5020	S	16486262	1165	18.1945632	-66.1652432	Census Tract 2402.02	Cidra	0.7285	0.1934	0.8291	0.8167	0.7567
110	72	41	240402	72041240402	Census Tract 2404.02	G5020	S	11219694	16112	18.1597036	-66.1067286	Census Tract 2404.02	Cidra	0.7726	0.3359	0.9468	0.0588	0.5486
111	72	41	240601	72041240601	Census Tract 2406.01	G5020	S	18246257	0	18.1549491	-66.200841	Census Tract 2406.01	Cidra	0.3755	0.9015	0.7929	0.2714	0.6685
112	72	41	240401	72041240401	Census Tract 2404.01	G5020	S	7384119	49723	18.1659618	-66.1395575	Census Tract 2404.01	Cidra	0.2975	0.7228	0.2545	0.2726	0.2726
113	72	41	240201	72041240201	Census Tract 2402.01	G5020	S	13541902	5896	18.1792668	-66.1936036	Census Tract 2402.01	Cidra	0.3823	0.7963	0.9219	0.7794	0.8766
114	72	41	240500	72041240500	Census Tract 2405	G5020	S	2664353	13267	18.1687823	-66.1566918	Census Tract 2405	Cidra	0.5441	0.9819	0.8653	0.9898	0.9751
115	72	41	240300	72041240300	Census Tract 2403	G5020	S	4421551	504369	18.1871301	-66.1479907	Census Tract 2403	Cidra	0.4208	0.3337	0.8619	0.1085	0.3608
116	72	119	130200	72119130200	Census Tract 1302	G5020	S	6048512	1262850	18.3998127	-65.8189348	Census Tract 1302	Río Grande	0.673	0.9027	0.7782	0.9208	0.9638
117	72	119	130701	72119130701	Census Tract 1307.01	G5020	S	38965059	20930	18.3111386	-65.8350457	Census Tract 1307.01	Río Grande	0.6911	0.018	0.9027	0.8902	0.7251
118	72	91	570201	72091570201	Census Tract 5702.01	G5020	S	5936126	226396	18.4448026	-66.4931369	Census Tract 5702.01	Manatí	0.2918	0.2171	0.1199	0.4649	0.1244
119	72	19	952202	72019952202	Census Tract 9522.02	G5020	S	23579715	71735	18.2028499	-66.2755496	Census Tract 9522.02	Barranquitas	0.5316	0.7748	0.9049	0.63	0.8642
120	72	19	952302	72019952302	Census Tract 9523.02	G5020	S	17981648	0	18.2222595	-66.3198423	Census Tract 9523.02	Barranquitas	0.4445	0.7873	0.9796	0.9253	0.9377
121	72	19	952201	72019952201	Census Tract 9522.01	G5020	S	10017477	0	18.2195785	-66.2967389	Census Tract 9522.01	Barranquitas	0.457	0.6425	0.992	0.9886	0.9253
122	72	19	952301	72019952301	Census Tract 9523.01	G5020	S	12022895	0	18.2074449	-66.3389765	Census Tract 9523.01	Barranquitas	0.3789	0.7386	0.9592	0.1244	0.5927
123	72	75	710902	72075710902	Census Tract 7109.02	G5020	S	19789171	65316	18.0114004	-66.5022005	Census Tract 7109.02	Juana Díaz	0.3687	0.3766	0.3178	0.1187	0.1561
124	72	75	710700	72075710700	Census Tract 7107	G5020	S	26438931	0	18.1181824	-66.5411161	Census Tract 7107	Juana Díaz	0.6199	0.4479	0.8461	0.2669	0.5814
125	72	75	710800	72075710800	Census Tract 7108	G5020	S	13921260	426725	18.064649	-66.5276004	Census Tract 7108	Juana Díaz	0.6312	0.3223	0.6662	0.164	0.3823
126	72	75	710500	72075710500	Census Tract 7105	G5020	S	548334	0	18.0483974	-66.5082294	Census Tract 7105	Juana Díaz	0.8337	0.9875	0.9027	0.3585	0.9264
127	72	75	710400	72075710400	Census Tract 7104	G5020	S	980824	31603	18.0483975	-66.499444	Census Tract 7104	Juana Díaz	0.647	0.9095	0.9638	0.7036	0.9581
128	72	57	270202	72057270202	Census Tract 2702.02	G5020	S	51568504	212493	17.9985759	-66.1680047	Census Tract 2702.02	Guayama	0.5633	0.1323	0.6097	0.4977	0.3891
129	72	57	270201	72057270201	Census Tract 2702.01	G5020	S	22919103	13762060	17.9426256	-66.1592943	Census Tract 2702.01	Guayama	0.1153	0.5169	0.9864	0.3054	0.4536
130	72	15	280101	72015280101	Census Tract 2801.01	G5020	S	17632896	6518	18.0180145	-66.0666004	Census Tract 2801.01	Arroyo	0.5588	0.3552	0.8325	0.2782	0.509
131	72	13	300102	72013300102	Census Tract 3001.02	G5020	S	11169714	0	18.4463394	-66.6088978	Census Tract 3001.02	Arecibo	0.3902	0.164	0.3778	0.2149	0.1425
132	72	13	302202	72013302202	Census Tract 3022.02	G5020	S	14563465	3322	18.425561	-66.6078891	Census Tract 3022.02	Arecibo	0.0927	0.2997	0.6199	0.3902	0.2149
133	72	13	302201	72013302201	Census Tract 3022.01	G5020	S	6265683	29148	18.3992839	-66.6133715	Census Tract 3022.01	Arecibo	0.7296	0.7239	0.6617	0.0723	0.5871
134	72	15	280102	72015280102	Census Tract 2801.02	G5020	S	6594046	18534	17.9979122	-66.049291	Census Tract 2801.02	Arroyo	0.2579	0.8325	0.9253	0.6334	0.7828
135	72	85	190302	72085190302	Census Tract 1903.02	G5020	S	19212484	171	18.1363416	-65.9039619	Census Tract 1903.02	Las Piedras	0.828	0.0384	0.9909	0.2386	0.5418
136	72	85	190102	72085190102	Census Tract 1901.02	G5020	S	11847979	6623	18.192192	-65.8720761	Census Tract 1901.02	Las Piedras	0.2613	0.3269	0.5395	0.0282	0.1447
137	72	85	190101	72085190101	Census Tract 1901.01	G5020	S	34420661	25169	18.2268474	-65.8436675	Census Tract 1901.01	Las Piedras	0.6606	0.0814	0.7285	0.4015	0.4276
138	72	85	190201	72085190201	Census Tract 1902.01	G5020	S	3177084	399	18.1791306	-65.8578429	Census Tract 1902.01	Las Piedras	0.7398	0.8495	0.4445	0.311	0.6708
139	72	85	190202	72085190202	Census Tract 1902.02	G5020	S	2473866	0	18.1691922	-65.8735646	Census Tract 1902.02	Las Piedras	0.1572	0.3314	0.785	0.7228	0.4909
140	72	85	190301	72085190301	Census Tract 1903.01	G5020	S	16616290	147	18.1656271	-65.8866417	Census Tract 1903.01	Las Piedras	0.2861	0.1855	0.871	0.121	0.2364
141	72	63	210503	72063210503	Census Tract 2105.03	G5020	S	2141300	26355	18.2538166	-65.9552648	Census Tract 2105.03	Gurabo	0.397	0.0418	0.2511	0.0509	0.0497
142	72	13	300302	72013300302	Census Tract 3003.02	G5020	S	18762971	204623	18.4563215	-66.6765367	Census Tract 3003.02	Arecibo	0.38	0.6063	0.2036	0.5328	0.3597
143	72	13	300101	72013300101	Census Tract 3001.01	G5020	S	18222168	108171	18.4668229	-66.6190478	Census Tract 3001.01	Arecibo	0.13	0.4705	0.4219	0.121	0.1402
144	72	13	300301	72013300301	Census Tract 3003.01	G5020	S	5617592	46564	18.4359807	-66.6867814	Census Tract 3003.01	Arecibo	0.5656	0.5395	0.1945	0.4174	0.3585
145	72	33	20200	72033020200	Census Tract 202	G5020	S	750603	236603	18.4403536	-66.1182452	Census Tract 202	Cataño	0.9536	0.9049	0.397	0.9038	0.9423
146	72	75	710301	72075710301	Census Tract 7103.01	G5020	S	6337637	19414	18.0355142	-66.5000957	Census Tract 7103.01	Juana Díaz	0.3404	0.2319	0.638	0.0147	0.1696
147	72	33	20500	72033020500	Census Tract 205	G5020	S	1098215	0	18.4350365	-66.1637124	Census Tract 205	Cataño	0.0565	0.0746	0.1911	0.0067	0.0079
148	72	137	122202	72137122202	Census Tract 1222.02	G5020	S	882296	0	18.4263064	-66.2316681	Census Tract 1222.02	Toa Baja	0.785	0.6877	0.9615	0.7171	0.9389
149	72	91	570202	72091570202	Census Tract 5702.02	G5020	S	21019262	2806619	18.4582336	-66.5138094	Census Tract 5702.02	Manatí	0.2556	0.1142	0.4151	0.8404	0.3088
150	72	137	122002	72137122002	Census Tract 1220.02	G5020	S	2245783	2909	18.4063765	-66.2353473	Census Tract 1220.02	Toa Baja	0.0599	0.1843	0.0803	0.7081	0.1074
151	72	137	121001	72137121001	Census Tract 1210.01	G5020	S	711396	8806	18.439919	-66.1880822	Census Tract 1210.01	Toa Baja	0.311	0.2884	0.2647	0.2828	0.1414
152	72	137	121701	72137121701	Census Tract 1217.01	G5020	S	6825460	534	18.4306955	-66.2128334	Census Tract 1217.01	Toa Baja	0.095	0.5531	0.5	0.3597	0.2511
153	72	127	10500	72127010500	Census Tract 105	G5020	S	2839152	227867	18.4305477	-66.0707823	Census Tract 105	San Juan	0.0723	0.0079	0.0972	0.2997	0.0237
